,uname,label,catmaid_names,type,side,neurotransmitter,locality,neuropil,source,skid
137,KC_8865199,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,8865199
138,KC_9983191,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,9983191
139,KC_11785627,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,11785627
140,KC_12217572,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,12217572
141,KC_14319960,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,14319960
142,KC_14460113,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,14460113
143,KC_14519048,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,14519048
144,KC_14522124,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,14522124
145,KC_14898295,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,14898295
146,KC_15721919,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,15721919
147,KC_15734988,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,15734988
148,KC_15861524,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,15861524
149,KC_16015738,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,16015738
150,KC_16017113,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,16017113
151,KC_16210988,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,16210988
152,KC_16435965,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,16435965
153,KC_16438190,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,16438190
154,KC_16440649,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,16440649
155,KC_16440704,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,16440704
156,KC_16444327,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,16444327
157,KC_16627773,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,16627773
158,KC_16627861,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,16627861
159,KC_16629757,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,16629757
160,KC_16629931,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,16629931
161,KC_16630024,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,16630024
162,KC_16630385,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,16630385
163,KC_16631222,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,16631222
164,KC_16631248,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,16631248
165,KC_17147410,KC-no-pair,KC no pair,KC,left,acetylcholine,local,MB,Eichler2017,17147410
166,KC_15741782,KC-very-young,KC very young,KC,left,acetylcholine,local,MB,Eichler2017,15741782
167,KC_15939179,KC-very-young,KC very young,KC,left,acetylcholine,local,MB,Eichler2017,15939179
168,KC_15995074,KC-very-young,KC very young,KC,left,acetylcholine,local,MB,Eichler2017,15995074
169,KC_16053650,KC-very-young,KC very young,KC,left,acetylcholine,local,MB,Eichler2017,16053650
170,KC_16054240,KC-very-young,KC very young,KC,left,acetylcholine,local,MB,Eichler2017,16054240
171,KC_16443548,KC-very-young,KC very young,KC,left,acetylcholine,local,MB,Eichler2017,16443548
172,KC_16443747,KC-very-young,KC very young,KC,left,acetylcholine,local,MB,Eichler2017,16443747
173,KC_17454963,KC-very-young,KC very young,KC,left,acetylcholine,local,MB,Eichler2017,17454963
174,KC_17476873,KC-very-young,KC very young,KC,right,acetylcholine,local,MB,Eichler2017,17476873
175,KC_17476916,KC-very-young,KC very young,KC,right,acetylcholine,local,MB,Eichler2017,17476916
176,KC_17476920,KC-very-young,KC very young,KC,right,acetylcholine,local,MB,Eichler2017,17476920
177,KC_17476934,KC-very-young,KC very young,KC,right,acetylcholine,local,MB,Eichler2017,17476934
178,KC_17476964,KC-very-young,KC very young,KC,right,acetylcholine,local,MB,Eichler2017,17476964
179,KC_17476975,KC-very-young,KC very young,KC,right,acetylcholine,local,MB,Eichler2017,17476975
180,KC_14981210,KC-very-young,KC very young - DPLc s Left,KC,left,acetylcholine,local,MB,Eichler2017,14981210
181,KC_10450307,KC-young,KC young,KC,left,acetylcholine,local,MB,Eichler2017,10450307
182,KC_15691122,KC-young,KC young,KC,left,acetylcholine,local,MB,Eichler2017,15691122
183,KC_15734666,KC-young,KC young,KC,left,acetylcholine,local,MB,Eichler2017,15734666
184,KC_15741951,KC-young,KC young,KC,left,acetylcholine,local,MB,Eichler2017,15741951
185,KC_15788419,KC-young,KC young,KC,left,acetylcholine,local,MB,Eichler2017,15788419
186,KC_15828093,KC-young,KC young,KC,left,acetylcholine,local,MB,Eichler2017,15828093
187,KC_15939130,KC-young,KC young,KC,left,acetylcholine,local,MB,Eichler2017,15939130
188,KC_16026042,KC-young,KC young,KC,left,acetylcholine,local,MB,Eichler2017,16026042
189,KC_16053670,KC-young,KC young,KC,left,acetylcholine,local,MB,Eichler2017,16053670
190,KC_16435406,KC-young,KC young,KC,left,acetylcholine,local,MB,Eichler2017,16435406
191,KC_16443532,KC-young,KC young,KC,left,acetylcholine,local,MB,Eichler2017,16443532
192,KC_16443536,KC-young,KC young,KC,left,acetylcholine,local,MB,Eichler2017,16443536
193,KC_16443544,KC-young,KC young,KC,left,acetylcholine,local,MB,Eichler2017,16443544
194,KC_16448926,KC-young,KC young,KC,left,acetylcholine,local,MB,Eichler2017,16448926
195,KC_16448934,KC-young,KC young,KC,left,acetylcholine,local,MB,Eichler2017,16448934
196,KC_16448954,KC-young,KC young,KC,left,acetylcholine,local,MB,Eichler2017,16448954
197,KC_16448967,KC-young,KC young,KC,left,acetylcholine,local,MB,Eichler2017,16448967
198,KC_16448983,KC-young,KC young,KC,left,acetylcholine,local,MB,Eichler2017,16448983
199,KC_16464614,KC-young,KC young,KC,left,acetylcholine,local,MB,Eichler2017,16464614
200,KC_16628000,KC-young,KC young,KC,left,acetylcholine,local,MB,Eichler2017,16628000
201,KC_15691118,KC-young-no-claw,KC young no claw,KC,left,acetylcholine,local,MB,Eichler2017,15691118
202,KC_10455234,KC-young-no-claws,KC young no claws,KC,left,acetylcholine,local,MB,Eichler2017,10455234
203,KC_15764960,KC-young-no-claws,KC young no claws,KC,left,acetylcholine,local,MB,Eichler2017,15764960
204,KC_15788431,KC-young-no-claws,KC young no claws,KC,left,acetylcholine,local,MB,Eichler2017,15788431
205,KC_16220042,KC-young-no-claws,KC young no claws,KC,left,acetylcholine,local,MB,Eichler2017,16220042
206,KC_16448930,KC-young-no-claws,KC young no claws,KC,left,acetylcholine,local,MB,Eichler2017,16448930
207,KC_16448971,KC-young-no-claws,KC young no claws,KC,left,acetylcholine,local,MB,Eichler2017,16448971
208,KC_16448979,KC-young-no-claws,KC young no claws,KC,left,acetylcholine,local,MB,Eichler2017,16448979
209,KC_677717,KC,KC1,KC,right,acetylcholine,local,MB,Eichler2017,677717
210,KC_4227304,KC,KC10,KC,right,acetylcholine,local,MB,Eichler2017,4227304
211,KC_11813287,KC,KC100,KC,right,acetylcholine,local,MB,Eichler2017,11813287
212,KC_16058860,KC,KC100,KC,left,acetylcholine,local,MB,Eichler2017,16058860
213,KC_16145456,KC-very-young,KC101 very young,KC,right,acetylcholine,local,MB,Eichler2017,16145456
214,KC_7215582,KC-very-young,KC103 very young,KC,right,acetylcholine,local,MB,Eichler2017,7215582
215,KC_8247315,KC-very-young,KC104 very young,KC,right,acetylcholine,local,MB,Eichler2017,8247315
216,KC_4227544,KC,KC11,KC,right,acetylcholine,local,MB,Eichler2017,4227544
217,KC_4230061,KC,KC12,KC,right,acetylcholine,local,MB,Eichler2017,4230061
218,KC_11725127,KC,KC12,KC,left,acetylcholine,local,MB,Eichler2017,11725127
219,KC_4230739,KC,KC13,KC,right,acetylcholine,local,MB,Eichler2017,4230739
220,KC_14898816,KC,KC13,KC,left,acetylcholine,local,MB,Eichler2017,14898816
221,KC_4241192,KC,KC14,KC,right,acetylcholine,local,MB,Eichler2017,4241192
222,KC_16039470,KC,KC14,KC,left,acetylcholine,local,MB,Eichler2017,16039470
223,KC_4414426,KC,KC15,KC,right,acetylcholine,local,MB,Eichler2017,4414426
224,KC_4415241,KC,KC16,KC,right,acetylcholine,local,MB,Eichler2017,4415241
225,KC_12726582,KC,KC16,KC,left,acetylcholine,local,MB,Eichler2017,12726582
226,KC_4444354,KC,KC17,KC,right,acetylcholine,local,MB,Eichler2017,4444354
227,KC_11691603,KC,KC17,KC,left,acetylcholine,local,MB,Eichler2017,11691603
228,KC_4919895,KC-young,KC18 young,KC,right,acetylcholine,local,MB,Eichler2017,4919895
229,KC_4982172,KC,KC19,KC,right,acetylcholine,local,MB,Eichler2017,4982172
230,KC_3347708,KC,KC2,KC,right,acetylcholine,local,MB,Eichler2017,3347708
231,KC_4412315,KC,KC2/24,KC,left,acetylcholine,local,MB,Eichler2017,4412315
232,KC_5019924,KC,KC20,KC,right,acetylcholine,local,MB,Eichler2017,5019924
233,KC_5051342,KC,KC21,KC,right,acetylcholine,local,MB,Eichler2017,5051342
234,KC_8262302,KC,KC21,KC,left,acetylcholine,local,MB,Eichler2017,8262302
235,KC_5835799,KC,KC22,KC,right,acetylcholine,local,MB,Eichler2017,5835799
236,KC_16630941,KC,KC22,KC,left,acetylcholine,local,MB,Eichler2017,16630941
237,KC_5835815,KC,KC23,KC,right,acetylcholine,local,MB,Eichler2017,5835815
238,KC_5836035,KC,KC24,KC,right,acetylcholine,local,MB,Eichler2017,5836035
239,KC_5836163,KC,KC25,KC,right,acetylcholine,local,MB,Eichler2017,5836163
240,KC_16630264,KC,KC25,KC,left,acetylcholine,local,MB,Eichler2017,16630264
241,KC_5836181,KC,KC26,KC,right,acetylcholine,local,MB,Eichler2017,5836181
242,KC_5836197,KC,KC27,KC,right,acetylcholine,local,MB,Eichler2017,5836197
243,KC_5836206,KC,KC28,KC,right,acetylcholine,local,MB,Eichler2017,5836206
244,KC_5836387,KC,KC29,KC,right,acetylcholine,local,MB,Eichler2017,5836387
245,KC_3347834,KC,KC3,KC,right,acetylcholine,local,MB,Eichler2017,3347834
246,KC_16625432,KC,KC30,KC,right,acetylcholine,local,MB,Eichler2017,16625432
247,KC_7196392,KC,KC31,KC,right,acetylcholine,local,MB,Eichler2017,7196392
248,KC_14547259,KC,KC32,KC,right,acetylcholine,local,MB,Eichler2017,14547259
249,KC_7690945,KC,KC33,KC,right,acetylcholine,local,MB,Eichler2017,7690945
250,KC_7786053,KC,KC34,KC,right,acetylcholine,local,MB,Eichler2017,7786053
251,KC_16629788,KC,KC34,KC,left,acetylcholine,local,MB,Eichler2017,16629788
252,KC_7828725,KC,KC35,KC,right,acetylcholine,local,MB,Eichler2017,7828725
253,KC_7829784,KC,KC36,KC,right,acetylcholine,local,MB,Eichler2017,7829784
254,KC_7838405,KC,KC37,KC,right,acetylcholine,local,MB,Eichler2017,7838405
255,KC_7840203,KC,KC38,KC,right,acetylcholine,local,MB,Eichler2017,7840203
256,KC_7868195,KC,KC39,KC,right,acetylcholine,local,MB,Eichler2017,7868195
257,KC_3497901,KC,KC4,KC,right,acetylcholine,local,MB,Eichler2017,3497901
258,KC_7891312,KC,KC40,KC,right,acetylcholine,local,MB,Eichler2017,7891312
259,KC_8066411,KC-young,KC41 young,KC,right,acetylcholine,local,MB,Eichler2017,8066411
260,KC_8066542,KC,KC42,KC,right,acetylcholine,local,MB,Eichler2017,8066542
261,KC_11725803,KC,KC42,KC,left,acetylcholine,local,MB,Eichler2017,11725803
262,KC_8259179,KC-very-young,KC43 very young,KC,right,acetylcholine,local,MB,Eichler2017,8259179
263,KC_8259192,KC-young,KC44 young,KC,right,acetylcholine,local,MB,Eichler2017,8259192
264,KC_8259199,KC-very-young,KC45 very young,KC,right,acetylcholine,local,MB,Eichler2017,8259199
265,KC_8260011,KC-young,KC46 young,KC,right,acetylcholine,local,MB,Eichler2017,8260011
266,KC_8260935,KC-very-young,KC47 very young,KC,right,acetylcholine,local,MB,Eichler2017,8260935
267,KC_8274902,KC,KC48,KC,right,acetylcholine,local,MB,Eichler2017,8274902
268,KC_8413663,KC,KC49,KC,right,acetylcholine,local,MB,Eichler2017,8413663
